Date,Open,High,Low,Close,Volume
30-Nov-11,54.47,54.61,54.04,54.60,101516702
29-Nov-11,53.69,54.12,52.89,53.31,94007858
28-Nov-11,53.19,53.82,52.90,53.73,86660854
25-Nov-11,52.63,53.02,51.90,51.94,63689801
23-Nov-11,53.50,53.69,52.41,52.43,107160445
22-Nov-11,53.00,53.99,52.99,53.79,102324341
21-Nov-11,52.91,53.10,52.27,52.72,112050589
18-Nov-11,54.13,54.28,53.55,53.56,93018765
17-Nov-11,54.85,54.94,53.64,53.92,120030148
16-Nov-11,55.61,55.88,54.90,54.97,87302012
15-Nov-11,54.40,55.64,54.21,55.55,107744812
14-Nov-11,54.79,55.04,54.03,54.18,108265507
11-Nov-11,55.23,55.53,54.32,54.95,163446017
10-Nov-11,56.72,56.74,54.59,55.03,186245269
9-Nov-11,56.71,57.27,56.32,56.47,139670930
8-Nov-11,57.46,58.29,57.37,58.03,100109842
7-Nov-11,57.13,57.14,56.59,57.10,67565799
4-Nov-11,57.43,57.63,57.02,57.18,75556992
3-Nov-11,57.01,57.63,56.48,57.58,110381075
2-Nov-11,57.16,57.21,56.44,56.77,82063667
1-Nov-11,56.77,57.07,56.17,56.64,132946877
